Date,Journal_ID,Line_No,Account_Code,Account_Name,Dept_Code,Description,Debit,Credit,User_ID,Approval_Level,Posting_Type,Currency,Exchange_Rate,Audit_Flag,Net
2024-09-20,JRN-2024-0006,3,5300,Utilities Expense,IT,Cr to Utilities Expense,0.0,-878.76,U101,2,Manual,GBP,1.0,0,878.76
2024-02-23,JRN-2024-0007,1,4100,Other Income,FIN,Dr to Other Income,945.9,0.0,U101,3,Manual,GBP,1.0,0,945.9
2024-02-23,JRN-2024-0007,2,1300,Prepayments,FIN,Dr to Prepayments,750.02,0.0,U101,3,Manual,GBP,1.0,0,750.02
2024-02-23,JRN-2024-0007,3,2100,Accruals,FIN,Cr to Accruals,0.0,881.55,U101,3,Manual,GBP,1.0,0,-881.55
2024-02-23,JRN-2024-0007,4,5200,Rent Expense,FIN,Cr to Rent Expense,0.0,814.37,U101,3,Manual,GBP,1.0,0,-814.37
2024-02-22,JRN-2024-0008,1,3100,Retained Earnings,HR,Cr to Retained Earnings,0.0,2810.32,U103,2,Reversal,GBP,1.0,1,-2810.32
2024-02-22,JRN-2024-0008,2,4100,Other Income,HR,Cr to Other Income,0.0,-1957.28,U103,2,Reversal,GBP,1.0,1,1957.28
2024-02-22,JRN-2024-0008,3,4000,Sales Revenue,HR,Dr to Sales Revenue,853.04,0.0,U103,2,Reversal,GBP,1.0,1,853.04
2024-03-03,JRN-2024-0009,1,5000,Cost of Goods Sold,OPS,Dr to Cost of Goods Sold,2637.53,0.0,U401,2,Reversal,GBP,1.0,0,2637.53
2024-03-03,JRN-2024-0009,2,1200,Inventory,OPS,Cr to Inventory,0.0,974.36,U401,2,Reversal,GBP,1.0,0,-974.36
2024-03-03,JRN-2024-0009,3,1000,Cash at Bank,OPS,Cr to Cash at Bank,0.0,1663.17,U401,2,Reversal,GBP,1.0,0,-1663.17
2024-02-10,JRN-2024-0010,1,5100,Wages Expense,IT,Dr to Wages Expense,134.7,0.0,U401,1,Manual,GBP,1.0,1,134.7
2024-02-10,JRN-2024-0010,2,3000,Share Capital,IT,Cr to Share Capital,0.0,788.49,U401,1,Manual,GBP,1.0,1,-788.49
2024-02-10,JRN-2024-0010,3,4000,Sales Revenue,IT,Dr to Sales Revenue,230.42,0.0,U401,1,Manual,GBP,1.0,1,230.42
2024-02-10,JRN-2024-0010,4,3100,Retained Earnings,IT,Dr to Retained Earnings,423.37,0.0,U401,1,Manual,GBP,1.0,1,423.37
2024-08-01,JRN-2024-0011,1,5000,Cost of Goods Sold,MKT,Cr to Cost of Goods Sold,0.0,2221.02,U101,1,Manual,GBP,1.0,0,-2221.02
2024-08-01,JRN-2024-0011,2,1200,Inventory,MKT,Dr to Inventory,1217.21,0.0,U101,1,Manual,GBP,1.0,0,1217.21
2024-08-01,JRN-2024-0011,3,1000,Cash at Bank,MKT,Dr to Cash at Bank,1003.81,0.0,U101,1,Manual,GBP,1.0,0,1003.81
2024-10-09,JRN-2024-0012,1,4000,Sales Revenue,OPS,Cr to Sales Revenue,0.0,931.0,U301,3,Automated,GBP,1.0,0,-931.0
2024-10-09,JRN-2024-0012,2,5400,Depreciation Expense,OPS,Dr to Depreciation Expense,358.11,0.0,U301,3,Automated,GBP,1.0,0,358.11
2024-10-09,JRN-2024-0012,3,5400,Depreciation Expense,OPS,Dr to Depreciation Expense,572.89,0.0,U301,3,Automated,GBP,1.0,0,572.89
2024-08-28,JRN-2024-0013,1,1300,Prepayments,HR,Dr to Prepayments,1817.1,0.0,U102,2,Manual,GBP,1.0,0,1817.1
2024-08-28,JRN-2024-0013,2,5200,Rent Expense,HR,Cr to Rent Expense,0.0,1817.1,U102,2,Manual,GBP,1.0,0,-1817.1
2024-06-19,JRN-2024-0014,1,5200,Rent Expense,IT,Dr to Rent Expense,2347.28,0.0,U201,2,Manual,GBP,1.0,0,2347.28
2024-06-19,JRN-2024-0014,2,1300,Prepayments,IT,Cr to Prepayments,0.0,2347.28,U201,2,Manual,GBP,1.0,0,-2347.28
2024-06-18,JRN-2024-0015,1,5200,Rent Expense,FIN,Cr to Rent Expense,0.0,2095.88,U101,1,Reversal,GBP,1.0,0,-2095.88
2024-06-18,JRN-2024-0015,2,5300,Utilities Expense,FIN,Dr to Utilities Expense,2095.88,0.0,U101,1,Reversal,GBP,1.0,0,2095.88
2024-10-12,JRN-2024-0016,1,5300,Utilities Expense,HR,Cr to Utilities Expense,0.0,1476.2,U201,3,Automated,GBP,1.0,0,-1476.2
2024-10-12,JRN-2024-0016,2,5000,Cost of Goods Sold,HR,Dr to Cost of Goods Sold,1476.2,0.0,U201,3,Automated,GBP,1.0,0,1476.2
2024-10-09,JRN-2024-0017,1,5300,Utilities Expense,IT,Dr to Utilities Expense,315.29,0.0,U103,3,Automated,GBP,1.0,0,315.29
2024-10-09,JRN-2024-0017,2,4000,Sales Revenue,IT,Cr to Sales Revenue,0.0,678.19,U103,3,Automated,GBP,1.0,0,-678.19
2024-10-09,JRN-2024-0017,3,1300,Prepayments,IT,Cr to Prepayments,0.0,765.85,U103,3,Automated,GBP,1.0,0,-765.85
2024-10-09,JRN-2024-0017,4,5200,Rent Expense,IT,Dr to Rent Expense,1128.75,0.0,U103,3,Automated,GBP,1.0,0,1128.75
2024-06-08,JRN-2024-0018,1,5500,Interest Expense,OPS,Dr to Interest Expense,3063.56,0.0,U201,1,Reversal,GBP,1.0,0,3063.56
2024-06-08,JRN-2024-0018,2,3100,Retained Earnings,OPS,Cr to Retained Earnings,0.0,3063.56,U201,1,Reversal,GBP,1.0,0,-3063.56
2024-04-22,JRN-2024-0019,1,2000,Accounts Payable,MKT,Cr to Accounts Payable,0.0,704.63,U401,3,Reversal,GBP,1.0,0,-704.63
2024-04-22,JRN-2024-0019,2,1000,Cash at Bank,MKT,Dr to Cash at Bank,1306.72,0.0,U401,3,Reversal,GBP,1.0,0,1306.72
2024-04-22,JRN-2024-0019,3,3100,Retained Earnings,MKT,Cr to Retained Earnings,0.0,2208.68,U401,3,Reversal,GBP,1.0,0,-2208.68
2024-04-22,JRN-2024-0019,4,1000,Cash at Bank,MKT,Dr to Cash at Bank,1606.59,0.0,U401,3,Reversal,GBP,1.0,0,1606.59
2024-08-05,JRN-2024-0020,1,5500,Interest Expense,OPS,Dr to Interest Expense,765.19,0.0,U301,3,Manual,GBP,1.0,0,765.19
2024-08-05,JRN-2024-0020,2,2100,Accruals,OPS,Cr to Accruals,0.0,765.19,U301,3,Manual,GBP,1.0,0,-765.19
2024-09-11,JRN-2024-0021,1,2100,Accruals,MKT,Dr to Accruals,1059.49,0.0,U103,1,Manual,GBP,1.0,0,1059.49
2024-09-11,JRN-2024-0021,2,3100,Retained Earnings,MKT,Cr to Retained Earnings,0.0,402.04,U103,1,Manual,GBP,1.0,0,-402.04
2024-09-11,JRN-2024-0021,3,2000,Accounts Payable,MKT,Dr to Accounts Payable,1201.69,0.0,U103,1,Manual,GBP,1.0,0,1201.69
2024-09-11,JRN-2024-0021,4,1300,Prepayments,MKT,Cr to Prepayments,0.0,1859.14,U103,1,Manual,GBP,1.0,0,-1859.14
2024-12-14,JRN-2024-0022,1,1200,Inventory,HR,Cr to Inventory,0.0,1185.93,U101,3,Manual,GBP,1.0,1,-1185.93
2024-12-14,JRN-2024-0022,2,1300,Prepayments,HR,Dr to Prepayments,1185.93,0.0,U101,3,Manual,GBP,1.0,1,1185.93
2024-05-27,JRN-2024-0023,1,5500,Interest Expense,MKT,Cr to Interest Expense,0.0,976.78,U301,3,Automated,GBP,1.0,0,-976.78
2024-05-27,JRN-2024-0023,2,3000,Share Capital,MKT,Dr to Share Capital,976.78,0.0,U301,3,Automated,GBP,1.0,0,976.78
2024-05-08,JRN-2024-0024,1,5000,Cost of Goods Sold,HR,Dr to Cost of Goods Sold,2409.47,0.0,U401,3,Automated,GBP,1.0,0,2409.47
2024-05-08,JRN-2024-0024,2,5100,Wages Expense,HR,Cr to Wages Expense,0.0,2409.47,U401,3,Automated,GBP,1.0,0,-2409.47
2024-09-19,JRN-2024-0025,1,5100,Wages Expense,OPS,Dr to Wages Expense,851.16,0.0,U101,2,Manual,GBP,1.0,0,851.16
2024-09-19,JRN-2024-0025,2,5500,Interest Expense,OPS,Cr to Interest Expense,0.0,1856.54,U101,2,Manual,GBP,1.0,0,-1856.54
2024-09-19,JRN-2024-0025,3,4100,Other Income,OPS,Dr to Other Income,1005.38,0.0,U101,2,Manual,GBP,1.0,0,1005.38
2024-08-20,JRN-2024-0026,1,1200,Inventory,FIN,Cr to Inventory,0.0,2003.66,U101,3,Reversal,GBP,1.0,0,-2003.66
2024-08-20,JRN-2024-0026,2,1200,Inventory,FIN,Dr to Inventory,545.11,0.0,U101,3,Reversal,GBP,1.0,0,545.11
2024-08-20,JRN-2024-0026,3,5500,Interest Expense,FIN,Dr to Interest Expense,654.35,0.0,U101,3,Reversal,GBP,1.0,0,654.35
2024-08-20,JRN-2024-0026,4,5500,Interest Expense,FIN,Dr to Interest Expense,804.2,0.0,U101,3,Reversal,GBP,1.0,0,804.2
2024-11-05,JRN-2024-0027,1,1200,Inventory,FIN,Cr to Inventory,0.0,1795.63,U103,1,Reversal,GBP,1.0,0,-1795.63
2024-11-05,JRN-2024-0027,2,5500,Interest Expense,FIN,Dr to Interest Expense,1795.63,0.0,U103,1,Reversal,GBP,1.0,0,1795.63
2024-05-14,JRN-2024-0028,1,1200,Inventory,OPS,Dr to Inventory,2176.31,0.0,U301,1,Reversal,GBP,1.0,0,2176.31
2024-05-14,JRN-2024-0028,2,1000,Cash at Bank,OPS,Cr to Cash at Bank,0.0,2176.31,U301,1,Reversal,GBP,1.0,0,-2176.31
2024-01-22,JRN-2024-0029,1,5300,Utilities Expense,HR,Dr to Utilities Expense,913.85,0.0,U102,1,Manual,GBP,1.0,0,913.85
2024-01-22,JRN-2024-0029,2,5300,Utilities Expense,HR,Dr to Utilities Expense,1225.29,0.0,U102,1,Manual,GBP,1.0,0,1225.29
2024-01-22,JRN-2024-0029,3,2100,Accruals,HR,Dr to Accruals,749.3,0.0,U102,1,Manual,GBP,1.0,0,749.3
2024-01-22,JRN-2024-0029,4,2100,Accruals,HR,Cr to Accruals,0.0,2888.44,U102,1,Manual,GBP,1.0,0,-2888.44
2024-11-12,JRN-2024-0030,1,5500,Interest Expense,HR,Dr to Interest Expense,1011.21,0.0,U401,1,Reversal,GBP,1.0,0,1011.21
2024-11-12,JRN-2024-0030,2,1200,Inventory,HR,Cr to Inventory,0.0,1436.03,U401,1,Reversal,GBP,1.0,0,-1436.03
2024-11-12,JRN-2024-0030,3,1300,Prepayments,HR,Dr to Prepayments,960.33,0.0,U401,1,Reversal,GBP,1.0,0,960.33
2024-11-12,JRN-2024-0030,4,1200,Inventory,HR,Cr to Inventory,0.0,535.51,U401,1,Reversal,GBP,1.0,0,-535.51
2024-04-04,JRN-2024-0031,1,1200,Inventory,MKT,Dr to Inventory,46.03,0.0,U101,1,Manual,GBP,1.0,0,46.03
2024-04-04,JRN-2024-0031,2,5100,Wages Expense,MKT,Dr to Wages Expense,951.72,0.0,U101,1,Manual,GBP,1.0,0,951.72
2024-04-04,JRN-2024-0031,3,1000,Cash at Bank,MKT,Cr to Cash at Bank,0.0,1398.14,U101,1,Manual,GBP,1.0,0,-1398.14
2024-04-04,JRN-2024-0031,4,1300,Prepayments,MKT,Dr to Prepayments,400.39,0.0,U101,1,Manual,GBP,1.0,0,400.39
2024-08-10,JRN-2024-0032,1,2100,Accruals,HR,Cr to Accruals,0.0,2371.6,U102,2,Automated,GBP,1.0,0,-2371.6
2024-08-10,JRN-2024-0032,2,4100,Other Income,HR,Dr to Other Income,2371.6,0.0,U102,2,Automated,GBP,1.0,0,2371.6
2024-09-29,JRN-2024-0033,1,3100,Retained Earnings,IT,Dr to Retained Earnings,2176.78,0.0,U101,1,Reversal,GBP,1.0,0,2176.78
2024-09-29,JRN-2024-0033,2,1000,Cash at Bank,IT,Cr to Cash at Bank,0.0,2176.78,U101,1,Reversal,GBP,1.0,0,-2176.78
2024-01-26,JRN-2024-0034,1,1200,Inventory,HR,Cr to Inventory,0.0,1035.21,U201,2,Manual,GBP,1.0,0,-1035.21
2024-01-26,JRN-2024-0034,2,1100,Accounts Receivable,HR,Cr to Accounts Receivable,0.0,1239.03,U201,2,Manual,GBP,1.0,0,-1239.03
2024-01-26,JRN-2024-0034,3,4000,Sales Revenue,HR,Cr to Sales Revenue,0.0,-452.7,U201,2,Manual,GBP,1.0,0,452.7
2024-01-26,JRN-2024-0034,4,3100,Retained Earnings,HR,Dr to Retained Earnings,1821.54,0.0,U201,2,Manual,GBP,1.0,0,1821.54
2024-05-21,JRN-2024-0035,1,5100,Wages Expense,FIN,Cr to Wages Expense,0.0,345.91,U201,2,Automated,GBP,1.0,0,-345.91
2024-05-21,JRN-2024-0035,2,1200,Inventory,FIN,Cr to Inventory,0.0,1515.61,U201,2,Automated,GBP,1.0,0,-1515.61
2024-05-21,JRN-2024-0035,3,3000,Share Capital,FIN,Dr to Share Capital,1861.52,0.0,U201,2,Automated,GBP,1.0,0,1861.52
2024-02-20,JRN-2024-0036,1,4000,Sales Revenue,OPS,Dr to Sales Revenue,2.89,0.0,U102,2,Manual,GBP,1.0,0,2.89
2024-02-20,JRN-2024-0036,2,4100,Other Income,OPS,Dr to Other Income,4.73,0.0,U102,2,Manual,GBP,1.0,0,4.73
2024-02-20,JRN-2024-0036,3,5400,Depreciation Expense,OPS,Cr to Depreciation Expense,0.0,7.62,U102,2,Manual,GBP,1.0,0,-7.62
2024-04-17,JRN-2024-0037,1,2000,Accounts Payable,FIN,Dr to Accounts Payable,3950.13,0.0,U101,3,Automated,GBP,1.0,0,3950.13
2024-04-17,JRN-2024-0037,2,3000,Share Capital,FIN,Cr to Share Capital,0.0,3950.13,U101,3,Automated,GBP,1.0,0,-3950.13
2024-09-25,JRN-2024-0038,1,1100,Accounts Receivable,OPS,Cr to Accounts Receivable,0.0,3233.68,U101,3,Manual,GBP,1.0,0,-3233.68
2024-09-25,JRN-2024-0038,2,5100,Wages Expense,OPS,Dr to Wages Expense,1467.01,0.0,U101,3,Manual,GBP,1.0,0,1467.01
2024-09-25,JRN-2024-0038,3,4100,Other Income,OPS,Dr to Other Income,981.62,0.0,U101,3,Manual,GBP,1.0,0,981.62
2024-09-25,JRN-2024-0038,4,5300,Utilities Expense,OPS,Dr to Utilities Expense,785.05,0.0,U101,3,Manual,GBP,1.0,0,785.05
2024-11-13,JRN-2024-0039,1,3000,Share Capital,IT,Cr to Share Capital,0.0,1243.98,U301,1,Reversal,GBP,1.0,0,-1243.98
2024-11-13,JRN-2024-0039,2,5400,Depreciation Expense,IT,Cr to Depreciation Expense,0.0,1139.08,U301,1,Reversal,GBP,1.0,0,-1139.08
2024-11-13,JRN-2024-0039,3,4000,Sales Revenue,IT,Dr to Sales Revenue,719.73,0.0,U301,1,Reversal,GBP,1.0,0,719.73
2024-11-13,JRN-2024-0039,4,5100,Wages Expense,IT,Cr to Wages Expense,0.0,-1663.33,U301,1,Reversal,GBP,1.0,0,1663.33
2024-08-24,JRN-2024-0040,1,2000,Accounts Payable,MKT,Dr to Accounts Payable,3709.94,0.0,U102,3,Reversal,GBP,1.0,0,3709.94
2024-08-24,JRN-2024-0040,2,1000,Cash at Bank,MKT,Cr to Cash at Bank,0.0,3709.94,U102,3,Reversal,GBP,1.0,0,-3709.94
2024-05-23,JRN-2024-0041,1,1200,Inventory,OPS,Dr to Inventory,2199.44,0.0,U401,3,Automated,GBP,1.0,0,2199.44
2024-05-23,JRN-2024-0041,2,2000,Accounts Payable,OPS,Cr to Accounts Payable,0.0,1259.37,U401,3,Automated,GBP,1.0,0,-1259.37
2024-05-23,JRN-2024-0041,3,2100,Accruals,OPS,Cr to Accruals,0.0,940.07,U401,3,Automated,GBP,1.0,0,-940.07
2024-12-06,JRN-2024-0042,1,3000,Share Capital,HR,Dr to Share Capital,1104.73,0.0,U301,3,Manual,GBP,1.0,0,1104.73
2024-12-06,JRN-2024-0042,2,1300,Prepayments,HR,Cr to Prepayments,0.0,1508.04,U301,3,Manual,GBP,1.0,0,-1508.04
2024-12-06,JRN-2024-0042,3,1000,Cash at Bank,HR,Dr to Cash at Bank,403.31,0.0,U301,3,Manual,GBP,1.0,0,403.31
2024-01-04,JRN-2024-0043,1,5500,Interest Expense,OPS,Dr to Interest Expense,2109.66,0.0,U103,1,Manual,GBP,1.0,0,2109.66
2024-01-04,JRN-2024-0043,2,3100,Retained Earnings,OPS,Cr to Retained Earnings,0.0,2109.66,U103,1,Manual,GBP,1.0,0,-2109.66
2024-06-11,JRN-2024-0044,1,5100,Wages Expense,IT,Cr to Wages Expense,0.0,2220.35,U401,2,Reversal,GBP,1.0,0,-2220.35
2024-06-11,JRN-2024-0044,2,1000,Cash at Bank,IT,Dr to Cash at Bank,1221.18,0.0,U401,2,Reversal,GBP,1.0,0,1221.18
2024-06-11,JRN-2024-0044,3,1000,Cash at Bank,IT,Dr to Cash at Bank,999.17,0.0,U401,2,Reversal,GBP,1.0,0,999.17
2024-06-16,JRN-2024-0045,1,4100,Other Income,FIN,Cr to Other Income,0.0,1381.92,U102,2,Manual,GBP,1.0,1,-1381.92
2024-06-16,JRN-2024-0045,2,5000,Cost of Goods Sold,FIN,Dr to Cost of Goods Sold,316.62,0.0,U102,2,Manual,GBP,1.0,1,316.62
2024-06-16,JRN-2024-0045,3,5100,Wages Expense,FIN,Dr to Wages Expense,461.8,0.0,U102,2,Manual,GBP,1.0,1,461.8
2024-06-16,JRN-2024-0045,4,5200,Rent Expense,FIN,Dr to Rent Expense,603.5,0.0,U102,2,Manual,GBP,1.0,1,603.5
2024-04-23,JRN-2024-0046,1,5200,Rent Expense,MKT,Dr to Rent Expense,2323.18,0.0,U301,1,Reversal,GBP,1.0,0,2323.18
2024-04-23,JRN-2024-0046,2,5000,Cost of Goods Sold,MKT,Cr to Cost of Goods Sold,0.0,2323.18,U301,1,Reversal,GBP,1.0,0,-2323.18
2024-12-22,JRN-2024-0047,1,4000,Sales Revenue,IT,Dr to Sales Revenue,2275.16,0.0,U201,2,Manual,GBP,1.0,1,2275.16
2024-12-22,JRN-2024-0047,2,3100,Retained Earnings,IT,Cr to Retained Earnings,0.0,1449.56,U201,2,Manual,GBP,1.0,1,-1449.56
2024-12-22,JRN-2024-0047,3,5500,Interest Expense,IT,Cr to Interest Expense,0.0,825.6,U201,2,Manual,GBP,1.0,1,-825.6
2024-08-11,JRN-2024-0048,1,2000,Accounts Payable,FIN,Dr to Accounts Payable,3197.57,0.0,U101,2,Manual,GBP,1.0,1,3197.57
2024-08-11,JRN-2024-0048,2,5100,Wages Expense,FIN,Cr to Wages Expense,0.0,3197.57,U101,2,Manual,GBP,1.0,1,-3197.57
2024-09-29,JRN-2024-0049,1,1000,Cash at Bank,IT,Dr to Cash at Bank,867.09,0.0,U401,2,Reversal,GBP,1.0,0,867.09
2024-09-29,JRN-2024-0049,2,5300,Utilities Expense,IT,Cr to Utilities Expense,0.0,907.94,U401,2,Reversal,GBP,1.0,0,-907.94
2024-09-29,JRN-2024-0049,3,1300,Prepayments,IT,Cr to Prepayments,0.0,133.6,U401,2,Reversal,GBP,1.0,0,-133.6
2024-09-29,JRN-2024-0049,4,5500,Interest Expense,IT,Dr to Interest Expense,174.45,0.0,U401,2,Reversal,GBP,1.0,0,174.45
2024-05-23,JRN-2024-0050,1,2000,Accounts Payable,OPS,Cr to Accounts Payable,0.0,894.58,U301,1,Automated,GBP,1.0,0,-894.58
2024-05-23,JRN-2024-0050,2,2000,Accounts Payable,OPS,Dr to Accounts Payable,894.58,0.0,U301,1,Automated,GBP,1.0,0,894.58
2024-05-30,JRN-2024-0051,1,5500,Interest Expense,FIN,Dr to Interest Expense,825.64,0.0,U103,2,Manual,GBP,1.0,0,825.64
2024-05-30,JRN-2024-0051,2,4000,Sales Revenue,FIN,Dr to Sales Revenue,687.48,0.0,U103,2,Manual,GBP,1.0,0,687.48
2024-05-30,JRN-2024-0051,3,3000,Share Capital,FIN,Cr to Share Capital,0.0,2600.09,U103,2,Manual,GBP,1.0,0,-2600.09
2024-05-30,JRN-2024-0051,4,5200,Rent Expense,FIN,Dr to Rent Expense,1086.97,0.0,U103,2,Manual,GBP,1.0,0,1086.97
2024-06-22,JRN-2024-0052,1,5200,Rent Expense,FIN,Cr to Rent Expense,0.0,343.69,U103,3,Automated,GBP,1.0,0,-343.69
2024-06-22,JRN-2024-0052,2,3100,Retained Earnings,FIN,Dr to Retained Earnings,2597.58,0.0,U103,3,Automated,GBP,1.0,0,2597.58
2024-06-22,JRN-2024-0052,3,4100,Other Income,FIN,Cr to Other Income,0.0,2253.89,U103,3,Automated,GBP,1.0,0,-2253.89
2024-12-04,JRN-2024-0053,1,3100,Retained Earnings,OPS,Cr to Retained Earnings,0.0,2543.57,U201,1,Manual,GBP,1.0,0,-2543.57
2024-12-04,JRN-2024-0053,2,5500,Interest Expense,OPS,Dr to Interest Expense,676.42,0.0,U201,1,Manual,GBP,1.0,0,676.42
2024-12-04,JRN-2024-0053,3,5200,Rent Expense,OPS,Dr to Rent Expense,988.29,0.0,U201,1,Manual,GBP,1.0,0,988.29
2024-12-04,JRN-2024-0053,4,1000,Cash at Bank,OPS,Dr to Cash at Bank,878.86,0.0,U201,1,Manual,GBP,1.0,0,878.86
2024-10-01,JRN-2024-0054,1,5200,Rent Expense,MKT,Dr to Rent Expense,1084.54,0.0,U102,3,Manual,GBP,1.0,0,1084.54
2024-10-01,JRN-2024-0054,2,5100,Wages Expense,MKT,Dr to Wages Expense,698.35,0.0,U102,3,Manual,GBP,1.0,0,698.35
2024-10-01,JRN-2024-0054,3,2100,Accruals,MKT,Cr to Accruals,0.0,515.72,U102,3,Manual,GBP,1.0,0,-515.72
2024-10-01,JRN-2024-0054,4,3000,Share Capital,MKT,Cr to Share Capital,0.0,1267.17,U102,3,Manual,GBP,1.0,0,-1267.17
2024-02-27,JRN-2024-0055,1,1300,Prepayments,OPS,Cr to Prepayments,0.0,708.55,U201,2,Automated,GBP,1.0,0,-708.55
2024-02-27,JRN-2024-0055,2,5100,Wages Expense,OPS,Dr to Wages Expense,1055.49,0.0,U201,2,Automated,GBP,1.0,0,1055.49
2024-02-27,JRN-2024-0055,3,3100,Retained Earnings,OPS,Cr to Retained Earnings,0.0,346.94,U201,2,Automated,GBP,1.0,0,-346.94
2024-11-07,JRN-2024-0056,1,1000,Cash at Bank,OPS,Cr to Cash at Bank,0.0,3022.93,U201,2,Automated,GBP,1.0,0,-3022.93
2024-11-07,JRN-2024-0056,2,2100,Accruals,OPS,Dr to Accruals,3022.93,0.0,U201,2,Automated,GBP,1.0,0,3022.93
2024-10-29,JRN-2024-0057,1,2000,Accounts Payable,IT,Dr to Accounts Payable,2001.68,0.0,U201,3,Reversal,GBP,1.0,0,2001.68
2024-10-29,JRN-2024-0057,2,5500,Interest Expense,IT,Cr to Interest Expense,0.0,2001.68,U201,3,Reversal,GBP,1.0,0,-2001.68
2024-01-20,JRN-2024-0058,1,4000,Sales Revenue,OPS,Cr to Sales Revenue,0.0,461.58,U301,2,Manual,GBP,1.0,1,-461.58
2024-01-20,JRN-2024-0058,2,1100,Accounts Receivable,OPS,Cr to Accounts Receivable,0.0,2644.45,U301,2,Manual,GBP,1.0,1,-2644.45
2024-01-20,JRN-2024-0058,3,5400,Depreciation Expense,OPS,Dr to Depreciation Expense,3106.03,0.0,U301,2,Manual,GBP,1.0,1,3106.03
2024-09-15,JRN-2024-0059,1,5500,Interest Expense,MKT,Dr to Interest Expense,1072.53,0.0,U201,3,Reversal,GBP,1.0,0,1072.53
2024-09-15,JRN-2024-0059,2,3000,Share Capital,MKT,Cr to Share Capital,0.0,1072.53,U201,3,Reversal,GBP,1.0,0,-1072.53
2024-03-30,JRN-2024-0060,1,3100,Retained Earnings,MKT,Cr to Retained Earnings,0.0,1012.43,U101,3,Automated,GBP,1.0,0,-1012.43
2024-03-30,JRN-2024-0060,2,4100,Other Income,MKT,Dr to Other Income,1012.43,0.0,U101,3,Automated,GBP,1.0,0,1012.43
2024-05-24,JRN-2024-0061,1,4000,Sales Revenue,HR,Dr to Sales Revenue,456.66,0.0,U101,3,Automated,GBP,1.0,0,456.66
2024-05-24,JRN-2024-0061,2,1000,Cash at Bank,HR,Cr to Cash at Bank,0.0,456.66,U101,3,Automated,GBP,1.0,0,-456.66
2024-02-04,JRN-2024-0062,1,5200,Rent Expense,IT,Cr to Rent Expense,0.0,761.04,U103,3,Automated,GBP,1.0,0,-761.04
2024-02-04,JRN-2024-0062,2,2100,Accruals,IT,Dr to Accruals,1071.55,0.0,U103,3,Automated,GBP,1.0,0,1071.55
2024-02-04,JRN-2024-0062,3,1100,Accounts Receivable,IT,Cr to Accounts Receivable,0.0,1669.18,U103,3,Automated,GBP,1.0,0,-1669.18
